MouseID,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pS6_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,H3MeK4_N,CaNA_N,Genotype,Treatment,Behavior,class
1846_1,0.444637675,0.755976791,0.38896814,2.994592032,4.276306745,0.211525968,0.151068441,6.537084604,0.184726139,1.501227634,0.937882565,0.223685159,0.333250044,0.237227837,0.818632978,0.683671545,1.885493686,2.181746904,0.469617254,0.702435685,0.67626955,0.314372358,0.155885571,1.421585792,2.259748555,1.142492163,0.274794071,0.218451299,0.779191764,0.145769698,0.409188132,2.466404624,0.248008313,0.413042852,0.481023098,0.829922097,0.510527736,0.480495925,0.625244149,0.361259562,0.394975893,0.443632599,0.395243652,0.22126025,1.041052981,0.165379436,2.299687856,0.340713101,0.466269766,1.163573995,0.368790567,0.160238382,0.125317528,0.135615359,0.177776176,0.189278434,0.256509066,0.124665474,0.251766417,0.155506657,0.508088738,0.337418059,1.643312848,2.092658372,0.166477677,1.152347563,0.951564662,0.208634937,0.142362662,0.118237311,0.132465405,0.129996562,0.539353659,0.201867225,0.169493314,0.14700601,1.057811225,Ts65Dn,Saline,C/S,t-CS-s
1846_2,0.322485826,0.533700367,0.216894606,2.013904615,3.437153371,0.26335262,0.178123364,1.487357775,0.20859651,1.053714786,0.479348677,0.294080746,0.305268108,0.214287158,0.746469332,0.691682377,1.486744151,2.198996739,0.51446826,0.714602656,0.286934871,0.336094091,0.173142767,1.192260889,2.301835338,1.895082675,0.259839983,0.241924389,0.633566928,0.187396581,0.386248012,2.148802349,0.455821839,0.421373463,0.320736871,0.761063716,0.488193829,0.364697161,0.549622795,0.315207096,0.248982001,0.360911455,0.433043085,0.174638775,0.768504056,0.184327389,2.207450954,0.324001734,0.48137221,0.975767082,0.113462128,0.165058117,0.183220839,0.129986063,0.168074146,0.186184257,0.452206157,0.126960156,0.214639229,0.142836114,0.583308012,0.305884594,1.566660162,2.002338441,0.144508376,1.031462509,0.937465351,0.275021745,0.188486228,0.11131188,0.125981369,0.123231838,0.440146599,0.171414569,0.273832279,0.231027915,1.820757627,Control,Saline,C/S,c-CS-s
1846_3,0.408321007,0.738134545,0.212386795,2.881205312,2.053286298,0.18410827,0.162073016,2.088139342,0.184912803,2.11218718,1.810763262,0.296466443,0.283747339,0.236362033,0.570454914,0.640041644,1.604519514,0.727791772,0.36465247,0.640865721,0.164072427,0.250328803,0.143128331,1.596820882,1.687345189,1.345232159,0.197831443,0.271723357,0.663098353,0.115017986,0.403100373,1.948292207,0.248008313,0.35589779,0.381168568,0.667283201,0.491552198,0.246283449,0.454155954,0.239771151,0.250864227,0.339206262,0.216008503,0.167663402,0.911702312,0.165129093,2.093955183,0.2957707,0.428288719,0.98636334,0.172208672,0.165443043,0.171736182,0.097727115,0.147225064,0.159599848,0.236666854,0.128191565,0.204645541,0.125039691,0.480050895,0.238805382,1.19478495,1.914322166,0.123040346,0.947677029,0.877457974,0.222448251,0.129454589,0.112882264,0.094454111,0.121086168,0.340336413,0.105619584,0.218915914,0.122241722,1.618240456,Ts65Dn,Saline,C/S,t-CS-s
1846_4,0.794800803,0.779199372,0.386762373,2.697151314,4.217760395,0.219625579,0.236595564,5.43170863,0.243114529,1.683115639,0.540868346,0.406751055,0.33205621,0.336134659,0.878055468,0.723476881,1.81563747,1.2653915,0.401510461,0.791494478,0.632807728,0.434010863,0.211082936,1.234652958,2.177449293,1.167046771,0.310446297,0.29888926,0.640575004,0.188927005,0.472497885,2.107020517,0.569225625,0.483949988,0.573454423,0.989943171,0.482905983,0.330726685,0.571324957,0.308094237,0.242497591,0.492224399,0.29252206,0.197463751,0.937083911,0.162016216,2.415024026,0.285653375,0.212624009,1.396312755,0.178289032,0.199316956,0.183893185,0.104853821,0.161158616,0.118818549,0.191601027,0.128777484,0.265462676,0.157730583,0.479132047,0.272831004,1.410035366,2.530806448,0.160442667,1.422370835,0.968877851,0.256141639,0.105861914,,0.111929829,0.126192885,0.471489769,0.198956465,0.187867082,0.246279454,1.09160761,Ts65Dn,Saline,S/C,t-SC-s
1846_5,0.239607629,0.523084537,0.31538749,2.09698904,3.63868421,0.239227465,0.204038812,5.528799531,0.255953308,1.236687609,0.319944875,0.368448411,0.37476047,0.305046419,0.817910602,1.031303337,1.58675784,1.350751619,0.555667957,0.626125,0.318033339,0.358446061,0.202039085,1.958838969,1.784708526,0.827936887,0.22903613,0.336808708,0.643143976,0.175189402,0.419328516,1.90173137,0.625708807,0.560211316,0.615001822,0.91335898,0.755499351,0.319529927,0.605217762,0.39100649,0.411196408,0.477821518,0.411079594,0.156698629,1.386676278,0.139156819,1.698583252,0.33901527,0.380597467,1.142266545,0.150379722,0.162724087,0.172656188,0.135644108,0.168322394,0.18251718,0.179718239,0.123859864,0.304655924,0.167876601,0.638918342,0.262912455,1.884263189,2.245313955,0.208785754,1.410608587,0.889914846,0.208671556,,,0.131440238,0.168854337,0.458007742,,0.230088308,0.3000208,1.052129001,Ts65Dn,Memantine,S/C,t-SC-m
1846_6,0.383281691,0.462933134,0.311120138,2.478390832,4.360255834,0.258147735,0.194991982,3.642126323,0.201360796,1.25089883,0.386021895,0.347585185,0.373248873,0.278204568,0.939160947,0.927676304,1.739530277,1.347607735,0.4259936,0.867633275,0.242963066,0.367251145,0.170808738,1.483047299,2.582174992,1.144170636,0.233568755,0.236487186,0.861128231,0.177946064,0.48362463,2.220030493,1.42161896,0.587606365,0.530757611,0.963835727,0.600985144,0.450333899,0.772901081,0.299803504,0.301087115,0.488031984,0.367819703,0.202357885,1.015634669,0.150834453,1.68290258,0.252456398,0.309433293,1.978514176,0.129347775,0.134275979,0.207597957,0.128822026,0.174246196,0.206438279,0.145426664,0.103425268,0.218710416,0.120330612,0.50513038,0.274428021,1.558449032,2.570171425,0.167998262,1.328926328,0.823393051,0.266790787,0.125631107,0.11130762,0.134852053,0.10254071,0.570241319,0.1077,0.114964371,,1.059381322,Control,Memantine,S/C,t-SC-m
1846_7,0.555955405,0.860325606,0.420374385,2.967339691,5.960801269,0.188895476,0.212944037,1.579517468,0.217712081,2.466627189,1.976109188,0.378483436,0.325731944,0.240743614,1.1194887,0.759516284,2.175547098,1.645525732,0.311086114,0.991691843,0.50139224,0.402045496,0.20722809,,4.313186813,1.583673198,0.310446297,0.340384718,0.939911514,0.18248681,0.44333045,3.194291151,0.248559408,0.429580605,0.401628734,0.825458788,0.869148336,0.406297292,0.766240005,0.479788309,0.461800105,0.571920765,0.182569809,0.226234845,0.690184193,0.119666895,0.673636488,0.314297447,0.47773693,2.231889933,0.175490061,0.183724853,0.213914813,0.128135699,0.18495471,0.186303869,0.217059286,0.133207602,0.208037319,0.132992211,0.585144791,0.337934139,1.362389394,2.790613718,0.174401791,1.087799446,0.635462521,0.22389392,0.117328318,0.162857568,0.123639893,,0.595042127,0.145496625,0.215377451,0.12982439,1.645967789,Control,Memantine,C/S,c-CS-m
1846_8,0.255278679,0.662287263,0.31732868,2.720612203,3.901741359,0.224571805,0.161887097,4.583686153,0.236027186,1.29581169,0.381940602,0.382550778,0.304106422,0.287621728,1.045054313,1.02689205,2.175547098,1.534949081,0.465727357,0.939833102,0.306615675,0.350674387,0.15793605,1.598233859,3.61930646,1.259944003,0.250382473,0.321155004,0.831183041,0.165199088,0.455767336,2.222914595,0.770464086,0.582635516,0.673267348,0.996396717,0.532146709,0.411219458,0.645279744,0.406187788,0.340457969,0.475939805,0.460205435,0.229397985,1.10451018,0.176912046,2.708603147,0.308111336,0.57068081,1.671464776,0.577601605,0.176090169,0.194614521,0.130275029,0.161189349,0.220395404,0.211321625,0.134036001,0.235704072,0.153877073,0.518493519,0.358114234,1.758451741,2.214393055,0.160208729,1.184941171,0.977198791,0.237516238,0.163185672,0.111287811,0.130979081,0.119526751,0.518036595,0.148809736,0.196163153,0.192064527,1.846008019,Ts65Dn,Saline,S/C,t-SC-s
1846_9,0.224125491,0.466947471,0.270543414,2.501999619,2.470163848,0.339803094,0.164721997,3.30081641,0.174129525,1.415565396,0.32531168,0.224660523,0.212873563,0.18474313,0.786754514,0.453648761,1.120116364,1.830460079,0.330363386,0.668851111,0.366262895,0.250328803,0.163920549,0.824995185,2.150388612,1.123107261,0.208009624,0.232096296,0.568941433,0.214202233,0.398383431,1.743613182,0.287621571,0.301954535,0.379795691,0.652043693,0.568534344,0.340164996,0.579530112,0.239771151,0.265830737,0.318989807,0.251364013,0.170753841,0.951091183,0.17892416,2.17476629,0.35268823,0.644776936,0.74593216,0.122803067,0.194051073,0.182352553,0.109134833,0.156960392,0.172859187,0.162761131,0.121616161,0.169528536,0.105765701,0.559733462,0.284123693,1.233105298,2.275081062,0.156257777,1.359964135,0.953706744,0.279824878,0.192573756,0.173981679,0.128114737,0.110403945,0.484334142,0.166050284,0.167861826,0.244309705,1.415318445,Ts65Dn,Saline,C/S,t-CS-s
1846_10,0.383607912,0.494973903,0.291617882,1.79795793,2.398644175,0.235484035,0.185842837,3.053497474,0.207728987,0.806047967,0.245394156,0.321279174,0.212873563,0.311106718,0.683549271,0.821004073,1.203514318,0.727791772,0.406420163,0.64081176,0.221826587,0.335709017,0.195540115,0.871069364,1.915095248,0.747001982,0.163872236,0.297043229,0.441568791,0.218722944,0.39135906,1.414081837,0.75944922,0.383372648,0.320193912,0.564294092,0.41522962,0.290671415,0.47816804,0.239771151,0.275803209,0.372154178,0.476211006,0.145573461,0.721354005,0.161010136,1.040406325,0.319527088,0.47738593,0.621707901,0.52318982,0.192659999,0.175553036,0.111838794,0.154339495,0.13716438,0.301177156,0.129456273,0.184558677,0.101665074,0.626632679,0.288807247,1.710515813,2.108017588,0.162752338,1.239480532,0.730503098,0.295987202,0.192791084,,0.118848794,0.16772403,0.400469855,0.370643802,0.295615653,0.282638941,0.991024942,Ts65Dn,Saline,S/C,t-SC-s
